citizen_id,lifestyle_type
90166,Travel Enthusiast
90167,Fitness Enthusiast
90168,Fitness Enthusiast
90169,Adventure Seeker
90170,Travel Enthusiast
90171,Investor
90172,Fitness Enthusiast
90173,Adventure Seeker
90174,Adventure Seeker
90175,Health-Conscious
90176,Investor
90177,Fitness Enthusiast
90178,Investor
90179,Investor
90180,Investor
90181,Adventure Seeker
90182,Adventure Seeker
90183,Travel Enthusiast
90184,Travel Enthusiast
90185,Fitness Enthusiast
90186,Travel Enthusiast
90187,Investor
90188,Investor
90189,Investor
90190,Health-Conscious
90191,Investor
90192,Travel Enthusiast
90193,Fitness Enthusiast
90194,Health-Conscious
90195,Travel Enthusiast
90196,Adventure Seeker
90197,Health-Conscious
90198,Health-Conscious
90199,Adventure Seeker
90200,Investor
90201,Health-Conscious
90202,Travel Enthusiast
90203,Travel Enthusiast
90204,Fitness Enthusiast
90205,Adventure Seeker
90206,Health-Conscious
90207,Investor
90208,Travel Enthusiast
90209,Fitness Enthusiast
90210,Adventure Seeker
90211,Adventure Seeker
90212,Adventure Seeker
90213,Investor
90214,Fitness Enthusiast
90215,Investor
90216,Investor
90217,Adventure Seeker
90218,Health-Conscious
90219,Investor
90220,Adventure Seeker
90221,Investor
90222,Travel Enthusiast
90223,Fitness Enthusiast
90224,Travel Enthusiast
90225,Fitness Enthusiast
90226,Fitness Enthusiast
90227,Fitness Enthusiast
90228,Health-Conscious
90229,Adventure Seeker
90230,Health-Conscious
90231,Adventure Seeker
90232,Travel Enthusiast
90233,Health-Conscious
90234,Investor
90235,Investor
90236,Travel Enthusiast
90237,Travel Enthusiast
90238,Fitness Enthusiast
90239,Fitness Enthusiast
90240,Health-Conscious
90241,Investor
90242,Travel Enthusiast
90243,Investor
90244,Investor
90245,Travel Enthusiast
90246,Travel Enthusiast
90247,Investor
90248,Travel Enthusiast
90249,Fitness Enthusiast
90250,Travel Enthusiast
90251,Adventure Seeker
90252,Health-Conscious
90253,Investor
90254,Investor
90255,Adventure Seeker
90256,Health-Conscious
90257,Travel Enthusiast
90258,Fitness Enthusiast
90259,Travel Enthusiast
90260,Travel Enthusiast
90261,Fitness Enthusiast
90262,Adventure Seeker
90263,Fitness Enthusiast
90264,Travel Enthusiast
90265,Health-Conscious
90266,Investor
90267,Fitness Enthusiast
90268,Health-Conscious
90269,Investor
90270,Health-Conscious
90271,Adventure Seeker
90272,Adventure Seeker
90273,Fitness Enthusiast
90274,Health-Conscious
90275,Investor
90276,Fitness Enthusiast
90277,Health-Conscious
90278,Investor
90279,Health-Conscious
90280,Adventure Seeker
90281,Fitness Enthusiast
90282,Fitness Enthusiast
90283,Travel Enthusiast
90284,Adventure Seeker
90285,Investor
90286,Health-Conscious
90287,Health-Conscious
90288,Adventure Seeker
90289,Health-Conscious
90290,Fitness Enthusiast
90291,Fitness Enthusiast
90292,Adventure Seeker
90293,Fitness Enthusiast
90294,Fitness Enthusiast
90295,Investor
90296,Health-Conscious
90297,Fitness Enthusiast
90298,Investor
90299,Investor
90300,Investor
90301,Investor
90302,Travel Enthusiast
90303,Adventure Seeker
90304,Fitness Enthusiast
90305,Health-Conscious
90306,Adventure Seeker
90307,Adventure Seeker
90308,Fitness Enthusiast
90309,Travel Enthusiast
90310,Adventure Seeker
90311,Fitness Enthusiast
90312,Travel Enthusiast
90313,Adventure Seeker
90314,Travel Enthusiast
90315,Investor
90316,Fitness Enthusiast
90317,Adventure Seeker
90318,Health-Conscious
90319,Fitness Enthusiast
90320,Fitness Enthusiast
90321,Fitness Enthusiast
90322,Fitness Enthusiast
90323,Investor
90324,Health-Conscious
90325,Travel Enthusiast
90326,Investor
90327,Adventure Seeker
90328,Investor
90329,Travel Enthusiast
90330,Travel Enthusiast
90331,Fitness Enthusiast
90332,Adventure Seeker
90333,Adventure Seeker
90334,Health-Conscious
90335,Adventure Seeker
90336,Health-Conscious
90337,Health-Conscious
90338,Health-Conscious
90339,Adventure Seeker
90340,Travel Enthusiast
90341,Travel Enthusiast
90342,Adventure Seeker
90343,Travel Enthusiast
90344,Adventure Seeker
90345,Adventure Seeker
90346,Investor
90347,Investor
90348,Investor
90349,Fitness Enthusiast
90350,Investor
90351,Health-Conscious
90352,Investor
90353,Travel Enthusiast
90354,Investor
90355,Travel Enthusiast
90356,Investor
90357,Adventure Seeker
90358,Adventure Seeker
90359,Investor
90360,Fitness Enthusiast
90361,Health-Conscious
90362,Health-Conscious
90363,Investor
90364,Investor
90365,Fitness Enthusiast
90366,Fitness Enthusiast
90367,Travel Enthusiast
90368,Travel Enthusiast
90369,Health-Conscious
90370,Health-Conscious
90371,Travel Enthusiast
90372,Health-Conscious
90373,Fitness Enthusiast
90374,Fitness Enthusiast
90375,Fitness Enthusiast
90376,Investor
90377,Fitness Enthusiast
90378,Adventure Seeker
90379,Adventure Seeker
90380,Investor
90381,Investor
90382,Health-Conscious
90383,Health-Conscious
90384,Health-Conscious
90385,Health-Conscious
90386,Investor
90387,Investor
90388,Investor
90389,Travel Enthusiast
90390,Health-Conscious
90391,Fitness Enthusiast
90392,Travel Enthusiast
90393,Health-Conscious
90394,Investor
90395,Health-Conscious
90396,Adventure Seeker
90397,Fitness Enthusiast
90398,Fitness Enthusiast
90399,Investor
90400,Travel Enthusiast
90401,Adventure Seeker
90402,Travel Enthusiast
90403,Adventure Seeker
90404,Fitness Enthusiast
90405,Travel Enthusiast
90406,Investor
90407,Fitness Enthusiast
90408,Adventure Seeker
90409,Travel Enthusiast
90410,Travel Enthusiast
90411,Adventure Seeker
90412,Travel Enthusiast
90413,Investor
90414,Fitness Enthusiast
90415,Travel Enthusiast
90416,Fitness Enthusiast
90417,Travel Enthusiast
90418,Investor
90419,Travel Enthusiast
90420,Adventure Seeker
90421,Investor
90422,Investor
90423,Fitness Enthusiast
90424,Health-Conscious
90425,Fitness Enthusiast
90426,Travel Enthusiast
90427,Fitness Enthusiast
90428,Travel Enthusiast
90429,Investor
90430,Fitness Enthusiast
90431,Travel Enthusiast
90432,Fitness Enthusiast
90433,Investor
90434,Fitness Enthusiast
90435,Fitness Enthusiast
90436,Investor
90437,Adventure Seeker
90438,Investor
90439,Adventure Seeker
90440,Investor
90441,Fitness Enthusiast
90442,Fitness Enthusiast
90443,Fitness Enthusiast
90444,Fitness Enthusiast
90445,Fitness Enthusiast
90446,Travel Enthusiast
90447,Fitness Enthusiast
90448,Fitness Enthusiast
90449,Health-Conscious
90450,Health-Conscious
90451,Fitness Enthusiast
90452,Travel Enthusiast
90453,Investor
90454,Health-Conscious
90455,Travel Enthusiast
90456,Adventure Seeker
90457,Fitness Enthusiast
90458,Investor
90459,Adventure Seeker
90460,Health-Conscious
90461,Travel Enthusiast
90462,Health-Conscious
90463,Health-Conscious
90464,Fitness Enthusiast
90465,Fitness Enthusiast
90466,Health-Conscious
90467,Health-Conscious
90468,Investor
90469,Adventure Seeker
90470,Fitness Enthusiast
90471,Adventure Seeker
90472,Travel Enthusiast
90473,Investor
90474,Adventure Seeker
90475,Travel Enthusiast
90476,Investor
90477,Adventure Seeker
90478,Health-Conscious
90479,Travel Enthusiast
90480,Fitness Enthusiast
90481,Adventure Seeker
90482,Travel Enthusiast
90483,Travel Enthusiast
90484,Fitness Enthusiast
90485,Investor
90486,Adventure Seeker
90487,Investor
90488,Health-Conscious
90489,Health-Conscious
90490,Fitness Enthusiast
90491,Health-Conscious
90492,Fitness Enthusiast
90493,Investor
90494,Investor
90495,Fitness Enthusiast
90496,Travel Enthusiast
90497,Investor
90498,Fitness Enthusiast
90499,Health-Conscious
90500,Adventure Seeker
90501,Fitness Enthusiast
90502,Travel Enthusiast
90503,Investor
90504,Fitness Enthusiast
90505,Health-Conscious
90506,Travel Enthusiast
90507,Travel Enthusiast
90508,Health-Conscious
90509,Adventure Seeker
90510,Fitness Enthusiast
90511,Investor
90512,Investor
90513,Adventure Seeker
90514,Fitness Enthusiast
90515,Fitness Enthusiast
90516,Travel Enthusiast
90517,Travel Enthusiast
90518,Travel Enthusiast
90519,Fitness Enthusiast
90520,Health-Conscious
90521,Travel Enthusiast
90522,Fitness Enthusiast
90523,Travel Enthusiast
90524,Adventure Seeker
90525,Investor
90526,Investor
90527,Adventure Seeker
90528,Adventure Seeker
90529,Travel Enthusiast
90530,Investor
90531,Fitness Enthusiast
90532,Investor
90533,Travel Enthusiast
90534,Adventure Seeker
90535,Fitness Enthusiast
90536,Travel Enthusiast
90537,Investor
90538,Investor
90539,Adventure Seeker
90540,Adventure Seeker
90541,Travel Enthusiast
90542,Health-Conscious
90543,Investor
90544,Investor
90545,Adventure Seeker
90546,Travel Enthusiast
90547,Fitness Enthusiast
90548,Investor
90549,Investor
90550,Adventure Seeker
90551,Health-Conscious
90552,Fitness Enthusiast
90553,Health-Conscious
90554,Fitness Enthusiast
90555,Fitness Enthusiast
90556,Health-Conscious
90557,Travel Enthusiast
90558,Investor
90559,Health-Conscious
90560,Health-Conscious
90561,Adventure Seeker
90562,Fitness Enthusiast
90563,Health-Conscious
90564,Adventure Seeker
90565,Adventure Seeker
90566,Adventure Seeker
90567,Health-Conscious
90568,Health-Conscious
90569,Investor
90570,Adventure Seeker
90571,Travel Enthusiast
90572,Investor
90573,Health-Conscious
90574,Investor
90575,Health-Conscious
90576,Travel Enthusiast
90577,Adventure Seeker
90578,Health-Conscious
90579,Adventure Seeker
90580,Travel Enthusiast
90581,Health-Conscious
90582,Adventure Seeker
90583,Adventure Seeker
90584,Fitness Enthusiast
90585,Health-Conscious
90586,Investor
90587,Investor
90588,Health-Conscious
90589,Fitness Enthusiast
90590,Fitness Enthusiast
90591,Fitness Enthusiast
90592,Adventure Seeker
90593,Fitness Enthusiast
90594,Adventure Seeker
